,id,B,S,size,density,iterations,file,density_evolution
86,86,"(0, 8)","(3, 8)",10,0.044612301254114084,10,./data/datasets/BISI/dataset13/individuals/ca_86,"[0.05, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
87,87,"(2, 3)","(0, 7)",10,0.3068100995451961,10,./data/datasets/BISI/dataset13/individuals/ca_87,"[0.33, 0.75, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72]"
88,88,"(0, 3)","(1, 6)",10,0.475289441908616,10,./data/datasets/BISI/dataset13/individuals/ca_88,"[0.33, 0.84, 0.33, 0.8, 0.39, 0.76, 0.45, 0.73, 0.49, 0.7]"
89,89,"(2, 9)","(4, 9)",10,0.536177494703452,10,./data/datasets/BISI/dataset13/individuals/ca_89,"[0.55, 0.81, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
90,90,"(1, 3)","(2, 4)",10,0.32568476641681543,10,./data/datasets/BISI/dataset13/individuals/ca_90,"[0.3, 0.68, 0.14, 0.61, 0.3, 0.59, 0.32, 0.58, 0.33, 0.52]"
91,91,"(4, 7)","(4, 9)",10,0.5789223875388946,10,./data/datasets/BISI/dataset13/individuals/ca_91,"[0.57, 0.73, 0.88, 0.95, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
92,92,"(2, 7)","(3, 9)",10,0.7241676366115433,10,./data/datasets/BISI/dataset13/individuals/ca_92,"[0.79, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97]"
93,93,"(6, 6)","(2, 3)",10,0.3277204015571189,10,./data/datasets/BISI/dataset13/individuals/ca_93,"[0.29, 0.14, 0.07, 0.05, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]"
94,94,"(0, 8)","(0, 7)",10,0.23286547108097988,10,./data/datasets/BISI/dataset13/individuals/ca_94,"[0.21, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]"
95,95,"(5, 9)","(5, 6)",10,0.9518744768327362,10,./data/datasets/BISI/dataset13/individuals/ca_95,"[0.94, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
96,96,"(1, 7)","(2, 9)",10,0.9924295232856558,10,./data/datasets/BISI/dataset13/individuals/ca_96,"[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99]"
97,97,"(5, 6)","(2, 4)",10,0.9367464737894553,10,./data/datasets/BISI/dataset13/individuals/ca_97,"[0.94, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]"
98,98,"(1, 2)","(0, 9)",10,0.30698605596261264,10,./data/datasets/BISI/dataset13/individuals/ca_98,"[0.3, 0.61, 0.61, 0.61, 0.61, 0.61, 0.61, 0.61, 0.61, 0.61]"
99,99,"(3, 8)","(0, 8)",10,0.8453576818202398,10,./data/datasets/BISI/dataset13/individuals/ca_99,"[0.86, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
