Dataset,Model,Model variation,Number of individuals,Execution,RMSE,R2,RMSE by iteration,R2 by iteration
dataset9_density,RandomForest,vector,1000,3,0.2599928283061982,0.931182777624786,"{'1': 0.3268844549091742, '2': 0.19325726211868158, '3': 0.27624477417426907, '4': 0.2345491773949766, '5': 0.2669181750057849, '6': 0.2401538666886929, '7': 0.2752846257198467, '8': 0.24760814571237874, '9': 0.27903497303197905}","{'1': 0.897926550436117, '2': 0.9631130272281258, '3': 0.9234849587121108, '4': 0.9446200718862512, '5': 0.9281486362374859, '6': 0.9416189390347416, '7': 0.9233091667933264, '8': 0.9376727760829164, '9': 0.9207508722119967}"
dataset9_density,RandomForest,vector,1000,4,0.2224802600748381,0.9500840575262292,"{'1': 0.2140566286104711, '2': 0.21493075613230822, '3': 0.20339380513335045, '4': 0.20965856015571693, '5': 0.21859145869314262, '6': 0.22884073394666374, '7': 0.23235857553605196, '8': 0.23879218608883787, '9': 0.24169963637700023}","{'1': 0.9545731181009539, '2': 0.9535820755488263, '3': 0.9584084368854522, '4': 0.9558091285424343, '5': 0.9520438587064525, '6': 0.9472856814253783, '7': 0.9455894649952148, '8': 0.9424668790377742, '9': 0.940997874493577}"
dataset9_density,RandomForest,vector,1000,5,0.2449114305987431,0.9398857607810728,"{'1': 0.2165410181647456, '2': 0.20651909916895905, '3': 0.221493331029898, '4': 0.23328834056203743, '5': 0.24414793361945433, '6': 0.2609104510279497, '7': 0.27283759041192385, '8': 0.2729825887121744, '9': 0.27548252269154594}","{'1': 0.9539745689309544, '2': 0.9579378993859774, '3': 0.9515422424325068, '4': 0.946192803269203, '5': 0.9408709994935467, '6': 0.9324642524749825, '7': 0.9260558897060609, '8': 0.9257650384167739, '9': 0.9241681529196499}"
dataset9_density,RandomForest,vector,1000,6,0.2207685068788823,0.9514619895155094,"{'1': 0.20847992653432112, '2': 0.18684894856326026, '3': 0.1954883786158252, '4': 0.18587040823361134, '5': 0.2271340897846356, '6': 0.22094086255709305, '7': 0.24914551549221517, '8': 0.24071883673290165, '9': 0.27228959539607783}","{'1': 0.9599307029496662, '2': 0.9661284190705951, '3': 0.9622666111631415, '4': 0.9657416229202027, '5': 0.9491397967432516, '6': 0.9517984481153947, '7': 0.9386442619831951, '8': 0.9427453680238633, '9': 0.9267626746702747}"
dataset9_density,RandomForest,vector,1000,7,0.2632219939644615,0.9328830581387054,"{'1': 0.18830357568065362, '2': 0.2114584950534633, '3': 0.23054617427302582, '4': 0.25800912041986923, '5': 0.2795562941001315, '6': 0.2912298717908557, '7': 0.30099743015068264, '8': 0.30646840443051726, '9': 0.30242857978095483}","{'1': 0.9659728725470456, '2': 0.958708831712766, '3': 0.950524387865078, '4': 0.9377596753062879, '5': 0.9265710475762706, '6': 0.9197712857368947, '7': 0.9138414920993335, '8': 0.9103950680365203, '9': 0.9124028623681527}"
dataset9_density,RandomForest,vector,1000,8,0.2619793360060786,0.9335785513210696,"{'1': 0.2390916844032278, '2': 0.18779076867328823, '3': 0.23119779147488492, '4': 0.24590699228975452, '5': 0.27837233823131075, '6': 0.28107287152055543, '7': 0.29458533018263255, '8': 0.2943497940511394, '9': 0.3054464532279138}","{'1': 0.9463314313508432, '2': 0.9662511190862316, '3': 0.9491360525111535, '4': 0.9426858671108058, '5': 0.926626987285061, '6': 0.92508880304628, '7': 0.9176156284621477, '8': 0.9175185261816781, '9': 0.9109525468554253}"
dataset9_density,RandomForest,vector,1000,9,0.2221487308559808,0.9478454281088452,"{'1': 0.22492221485057812, '2': 0.17112461434218926, '3': 0.19271245728313224, '4': 0.18125463740913658, '5': 0.22753142757990324, '6': 0.2278641204854525, '7': 0.2546856745548027, '8': 0.2503662418038071, '9': 0.2688771893948257}","{'1': 0.9469273773022231, '2': 0.9680989054335195, '3': 0.9606545210275069, '4': 0.9657376853138839, '5': 0.9467381296301672, '6': 0.9468966899010279, '7': 0.933686948822157, '8': 0.9358429854516974, '9': 0.9260256100974229}"
dataset9_density,NeuralNetwork,vector,1000,0,0.259535054163917,0.9295862733553804,"{'1': 0.2662797240439499, '2': 0.2214701328562548, '3': 0.27844774837307323, '4': 0.21641047298534977, '5': 0.2580325635510924, '6': 0.23170701336103872, '7': 0.26615526854774724, '8': 0.29304838891451707, '9': 0.30426417484222984}","{'1': 0.9307073188081694, '2': 0.951000237078138, '3': 0.9203518318686259, '4': 0.951227697540652, '5': 0.9298314889788425, '6': 0.9435522499368506, '7': 0.9255343299314368, '8': 0.910557112185406, '9': 0.9035141938703042}"
dataset9_density,NeuralNetwork,vector,1000,1,0.2371629801674571,0.9448690741174048,"{'1': 0.16467735552786675, '2': 0.17110760172400263, '3': 0.1717947703184715, '4': 0.20879712168220332, '5': 0.2117331753064315, '6': 0.26565750969850926, '7': 0.2828924095318573, '8': 0.32500199522521295, '9': 0.33280488249255885}","{'1': 0.9731649506547112, '2': 0.9725935569177023, '3': 0.9731380155349808, '4': 0.9607747892083547, '5': 0.9595823156815392, '6': 0.9360178328579336, '7': 0.9270513874451135, '8': 0.9032081283923816, '9': 0.8982906903639258}"
dataset9_density,NeuralNetwork,vector,1000,2,0.2357880399594246,0.942470030542246,"{'1': 0.23044021391974184, '2': 0.22595194602879567, '3': 0.20969814835887818, '4': 0.20391976273134244, '5': 0.23645917913304276, '6': 0.20614787264027348, '7': 0.2538604608881263, '8': 0.2584403137782288, '9': 0.297174462156392}","{'1': 0.9438969054737357, '2': 0.9481335203413798, '3': 0.9557381267913773, '4': 0.9580660880623072, '5': 0.9432145401596849, '6': 0.9566670659419299, '7': 0.9340374929208994, '8': 0.932120229633184, '9': 0.9103563055557163}"
dataset9_density,NeuralNetwork,vector,1000,3,0.2308985152808241,0.9449778873839404,"{'1': 0.16740700870882647, '2': 0.19011513140128647, '3': 0.19363179803014896, '4': 0.2516088515807964, '5': 0.23357777719313547, '6': 0.27360223507618364, '7': 0.24333479529750204, '8': 0.27979665125974496, '9': 0.2450123889797931}","{'1': 0.973228572540272, '2': 0.9643027518639335, '3': 0.9624065631562277, '4': 0.9362711046930883, '5': 0.9449773168799048, '6': 0.9242239264714094, '7': 0.9400777694907041, '8': 0.9204146825959068, '9': 0.9388982987640183}"
dataset9_density,NeuralNetwork,vector,1000,4,0.1776999225070489,0.96769568858057,"{'1': 0.1620128303765085, '2': 0.18271100239232707, '3': 0.18848941177778372, '4': 0.13609733302639254, '5': 0.15713199094518263, '6': 0.16353394047784114, '7': 0.19758318989508786, '8': 0.19553982834531103, '9': 0.21619977532700613}","{'1': 0.9739771784056067, '2': 0.9664557578315094, '3': 0.964280635934426, '4': 0.9813788457405501, '5': 0.9752196702465932, '6': 0.9730798338514619, '7': 0.9606571723130365, '8': 0.961421248395526, '9': 0.9527908545064174}"
dataset9_density,NeuralNetwork,vector,1000,5,0.1991322595746358,0.9603679621755724,"{'1': 0.17653815194358127, '2': 0.1824209323400675, '3': 0.19305910266908544, '4': 0.1844301160623869, '5': 0.19516541621730518, '6': 0.19362723544023272, '7': 0.21426225056748868, '8': 0.22302736386475325, '9': 0.2296597670668213}","{'1': 0.9694089300081292, '2': 0.9671814147107679, '3': 0.9631851894154498, '4': 0.9663706883500651, '5': 0.9622166765354796, '6': 0.9628050782253994, '7': 0.9543977257836828, '8': 0.9504487180552857, '9': 0.9472972384958909}"
dataset9_density,NeuralNetwork,vector,1000,6,0.250917452752546,0.937318258904936,"{'1': 0.17795000668856684, '2': 0.228896238185984, '3': 0.25503078563186937, '4': 0.2544636663613523, '5': 0.2700272735130823, '6': 0.26776805497994494, '7': 0.27146258282645425, '8': 0.2683579884641193, '9': 0.26430047812154106}","{'1': 0.9708069648500818, '2': 0.9491686713776404, '3': 0.9357801718150744, '4': 0.935790714051461, '5': 0.928116583151798, '6': 0.929201108418654, '7': 0.9271601589909765, '8': 0.9288426884785802, '9': 0.9309972690101577}"
dataset9_density,NeuralNetwork,vector,1000,7,0.2470747954733771,0.939896836376435,"{'1': 0.15758319490273007, '2': 0.18526955233023723, '3': 0.22264980822755526, '4': 0.24842343944607245, '5': 0.2430646670077856, '6': 0.26860097908922104, '7': 0.2709178114047553, '8': 0.31667546279089115, '9': 0.310488244061146}","{'1': 0.9761697852205253, '2': 0.9683032305378124, '3': 0.9538554954560681, '4': 0.9422985304641653, '5': 0.9444898440006274, '6': 0.9317546324553688, '7': 0.9302012394271213, '8': 0.9043270142317257, '9': 0.9076717555945002}"
dataset9_density,NeuralNetwork,vector,1000,8,0.2457834390156642,0.9396014949488616,"{'1': 0.11777814048230405, '2': 0.19646248025845006, '3': 0.21605905545740176, '4': 0.26422667472677014, '5': 0.2585019402290499, '6': 0.2822390902776399, '7': 0.27867571773462246, '8': 0.30064396974950824, '9': 0.2974638822252318}","{'1': 0.9869767176609637, '2': 0.9630622751096595, '3': 0.9555790700520592, '4': 0.9338281481273805, '5': 0.9367279637799116, '6': 0.9244658750197099, '7': 0.9262739684422112, '8': 0.9139533564093778, '9': 0.9155460799384794}"
dataset9_density,NeuralNetwork,vector,1000,9,0.21598475095716121,0.9509120231107807,"{'1': 0.1868100823218357, '2': 0.2035953602286511, '3': 0.22920779846092915, '4': 0.19687368364467356, '5': 0.204205346757454, '6': 0.1942666781018748, '7': 0.21967440983918052, '8': 0.24019158918924335, '9': 0.2690378100706086}","{'1': 0.9633894316907781, '2': 0.9548439055401375, '3': 0.9443411744836725, '4': 0.959578373895799, '5': 0.957098957257151, '6': 0.9614018643767538, '7': 0.9506657065934587, '8': 0.9409515914531772, '9': 0.9259372027060987}"
