,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
59,0.003676319122314453,0.0004004117943111002,0.0,0.0,poisson,1,sqrt,16,7,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 7, 'splitter': 'random'}",,,,,,,,1025
60,0.00341033935546875,0.0004794344499375657,0.0,0.0,poisson,1,sqrt,16,12,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 12, 'splitter': 'best'}",,,,,,,,1025
61,0.002925729751586914,0.0001475189290642206,0.0,0.0,poisson,1,sqrt,16,12,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 12, 'splitter': 'random'}",,,,,,,,1025
62,0.003374814987182617,0.0004970031176490112,0.0,0.0,poisson,1,sqrt,16,17,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 17, 'splitter': 'best'}",,,,,,,,1025
63,0.005844306945800781,0.0010776632380108217,0.0,0.0,poisson,1,sqrt,16,17,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 17, 'splitter': 'random'}",,,,,,,,1025
64,0.003805685043334961,0.0009318199118399901,0.0,0.0,poisson,1,log2,1,2,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",,,,,,,,1025
65,0.0059928417205810545,0.0012587306244105025,0.0,0.0,poisson,1,log2,1,2,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",,,,,,,,1025
66,0.006720733642578125,0.0003967995018449118,0.0,0.0,poisson,1,log2,1,7,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'best'}",,,,,,,,1025
67,0.005436420440673828,0.0010274746520159232,0.0,0.0,poisson,1,log2,1,7,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'random'}",,,,,,,,1025
68,0.006268882751464843,0.0013704708616896185,0.0,0.0,poisson,1,log2,1,12,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 12, 'splitter': 'best'}",,,,,,,,1025
69,0.005260992050170899,0.0010960406300635848,0.0,0.0,poisson,1,log2,1,12,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 12, 'splitter': 'random'}",,,,,,,,1025
70,0.006201982498168945,0.0007501909601035681,0.0,0.0,poisson,1,log2,1,17,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 17, 'splitter': 'best'}",,,,,,,,1025
71,0.006871461868286133,0.0006864561872952648,0.0,0.0,poisson,1,log2,1,17,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 17, 'splitter': 'random'}",,,,,,,,1025
72,0.006329202651977539,0.0006401541885716235,0.0,0.0,poisson,1,log2,6,2,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 2, 'splitter': 'best'}",,,,,,,,1025
73,0.006198692321777344,0.0007500585202909772,0.0,0.0,poisson,1,log2,6,2,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 2, 'splitter': 'random'}",,,,,,,,1025
