,id,B,S,Bl,Bt,Sl,St,0,1,2,3,4,5,6,7,8,9
63,63,"(2, 4)","(5, 5)",2,4,5,5,0.51,0.37,0.53,0.39,0.47,0.35,0.47,0.4,0.45,0.42
64,64,"(2, 5)","(5, 7)",2,5,5,7,0.56,0.58,0.59,0.61,0.55,0.63,0.64,0.64,0.64,0.64
65,65,"(6, 7)","(1, 6)",6,7,1,6,0.5,0.55,0.5,0.53,0.52,0.52,0.56,0.47,0.49,0.48
66,66,"(2, 7)","(1, 3)",2,7,1,3,0.5,0.68,0.39,0.45,0.63,0.3,0.64,0.33,0.53,0.53
67,67,"(5, 9)","(9, 9)",5,9,9,9,0.57,0.24,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,"(0, 2)","(1, 9)",0,2,1,9,0.5,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
69,69,"(0, 9)","(0, 6)",0,9,0,6,0.56,0.89,0.3,0.88,0.3,0.88,0.3,0.88,0.3,0.88
70,70,"(4, 8)","(3, 4)",4,8,3,4,0.52,0.62,0.49,0.31,0.29,0.21,0.22,0.17,0.16,0.11
71,71,"(3, 8)","(7, 8)",3,8,7,8,0.45,0.45,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5
72,72,"(0, 3)","(7, 8)",0,3,7,8,0.5,0.31,0.64,0.31,0.62,0.52,0.43,0.46,0.51,0.22
73,73,"(1, 7)","(4, 8)",1,7,4,8,0.58,0.87,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
74,74,"(0, 7)","(4, 9)",0,7,4,9,0.45,0.82,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
75,75,"(0, 6)","(2, 4)",0,6,2,4,0.51,0.75,0.3,0.82,0.18,0.9,0.12,0.94,0.06,0.99
76,76,"(4, 6)","(3, 3)",4,6,3,3,0.49,0.36,0.24,0.14,0.1,0.05,0.02,0.0,0.0,0.0
77,77,"(7, 8)","(0, 5)",7,8,0,5,0.51,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
78,78,"(5, 8)","(4, 7)",5,8,4,7,0.56,0.7,0.64,0.6,0.61,0.68,0.53,0.51,0.56,0.52
79,79,"(1, 4)","(3, 3)",1,4,3,3,0.48,0.46,0.33,0.57,0.36,0.54,0.32,0.44,0.51,0.46
80,80,"(2, 9)","(2, 5)",2,9,2,5,0.44,0.93,0.09,0.17,0.32,0.49,0.69,0.51,0.53,0.69
81,81,"(3, 5)","(2, 7)",3,5,2,7,0.51,0.83,0.64,0.85,0.72,0.78,0.78,0.78,0.78,0.78
82,82,"(1, 7)","(5, 6)",1,7,5,6,0.49,0.65,0.71,0.66,0.66,0.65,0.74,0.67,0.61,0.7
83,83,"(0, 0)","(1, 3)",0,0,1,3,0.42,0.2,0.27,0.31,0.28,0.36,0.32,0.3,0.34,0.34
84,84,"(9, 9)","(6, 6)",9,9,6,6,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,85,"(7, 8)","(7, 8)",7,8,7,8,0.49,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,86,"(0, 8)","(6, 8)",0,8,6,8,0.52,0.57,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
