,id,B,S,Bl,Bt,Sl,St,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
46,46,"(6, 7)","(2, 3)",6,7,2,3,0.21,0.1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
47,47,"(2, 5)","(0, 1)",2,5,0,1,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,"(0, 6)","(0, 4)",0,6,0,4,0.05,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
49,49,"(3, 4)","(3, 8)",3,4,3,8,0.55,0.71,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
50,50,"(0, 7)","(3, 8)",0,7,3,8,0.27,0.84,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
51,51,"(1, 8)","(4, 7)",1,8,4,7,0.75,0.94,0.46,0.72,0.89,0.55,0.67,0.96,0.36,0.72,0.95,0.42,0.59,0.91,0.5,0.68,0.88,0.64,0.81,0.83,0.67,0.81,0.82,0.59,0.73,0.87,0.59,0.74,0.94,0.3,0.51,0.84,0.66,0.7,0.91,0.49,0.72,0.92,0.5,0.66,0.95,0.37,0.7,0.95,0.45,0.69,0.95,0.29,0.44,0.81
52,52,"(0, 4)","(4, 6)",0,4,4,6,0.97,0.03,0.97,0.05,0.94,0.09,0.89,0.17,0.88,0.21,0.81,0.31,0.65,0.54,0.65,0.51,0.62,0.56,0.6,0.62,0.57,0.55,0.68,0.57,0.57,0.59,0.65,0.54,0.62,0.61,0.63,0.64,0.57,0.61,0.61,0.53,0.59,0.64,0.64,0.68,0.64,0.63,0.61,0.64,0.65,0.65,0.65,0.65,0.65,0.65
53,53,"(3, 6)","(3, 7)",3,6,3,7,0.46,0.84,0.57,0.72,0.82,0.77,0.73,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76,0.8,0.76
54,54,"(0, 5)","(5, 8)",0,5,5,8,0.77,0.76,0.72,0.75,0.76,0.75,0.83,0.82,0.81,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
55,55,"(4, 7)","(1, 3)",4,7,1,3,0.44,0.5,0.42,0.34,0.41,0.35,0.26,0.21,0.27,0.18,0.14,0.11,0.08,0.1,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
