,id,B,S,0,1,2,3,4,5,6,7,8,9
210,210,9,3,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,211,4,5,0.59,0.71,0.77,0.81,0.88,0.94,0.98,1.0,1.0,1.0
212,212,5,8,0.73,0.36,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,213,9,5,0.68,0.56,0.47,0.38,0.29,0.14,0.04,0.0,0.0,0.0
214,214,0,8,0.56,0.45,0.55,0.45,0.55,0.45,0.55,0.45,0.55,0.45
215,215,5,5,0.75,0.9,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0
216,216,1,0,0.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
217,217,0,0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
218,218,7,6,0.86,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
219,219,4,3,0.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
220,220,5,1,0.58,0.82,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0
221,221,6,7,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
222,222,0,7,0.32,0.68,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48
223,223,3,3,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
224,224,9,4,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,225,8,8,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,226,5,9,0.56,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,227,6,1,0.34,0.36,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
228,228,4,7,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,229,7,6,0.46,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,230,6,0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
231,231,2,7,0.4,0.53,0.47,0.53,0.47,0.53,0.47,0.53,0.47,0.53
232,232,2,6,0.16,0.31,0.47,0.5,0.52,0.48,0.52,0.48,0.52,0.48
233,233,7,0,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
234,234,5,5,0.41,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,235,8,0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
236,236,4,1,0.25,0.31,0.38,0.43,0.48,0.53,0.6,0.67,0.71,0.74
237,237,5,0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
238,238,8,6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,239,3,4,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
240,240,3,6,0.56,0.58,0.54,0.57,0.51,0.53,0.47,0.53,0.47,0.53
241,241,9,8,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,242,3,8,0.67,0.41,0.46,0.47,0.52,0.48,0.52,0.48,0.52,0.48
243,243,1,5,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
244,244,0,3,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
245,245,1,7,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
246,246,7,5,0.81,0.91,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89
247,247,9,9,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,248,7,5,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,249,0,0,0.46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
250,250,5,6,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
251,251,6,1,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
252,252,0,7,0.9,0.78,0.69,0.61,0.53,0.47,0.53,0.47,0.53,0.47
253,253,0,4,0.41,0.66,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0
254,254,5,2,0.77,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
255,255,5,6,0.88,0.92,0.94,0.95,0.97,0.99,1.0,1.0,1.0,1.0
256,256,1,5,0.11,0.54,0.71,0.79,0.89,0.95,0.99,1.0,1.0,1.0
257,257,5,5,0.4,0.16,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,258,8,1,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
259,259,2,9,0.31,0.44,0.53,0.47,0.53,0.47,0.53,0.47,0.53,0.47
260,260,1,8,0.44,0.54,0.46,0.54,0.46,0.54,0.46,0.54,0.46,0.54
261,261,3,3,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
262,262,4,1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
263,263,2,5,0.31,0.48,0.6,0.61,0.65,0.68,0.74,0.75,0.81,0.84
264,264,9,1,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
265,265,4,5,0.61,0.68,0.77,0.85,0.95,1.0,1.0,1.0,1.0,1.0
266,266,4,2,0.45,0.72,0.87,0.95,1.0,1.0,1.0,1.0,1.0,1.0
267,267,1,3,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
268,268,1,9,0.68,0.32,0.63,0.37,0.63,0.37,0.63,0.37,0.63,0.37
269,269,6,9,0.8,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,270,6,3,0.24,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
271,271,3,2,0.55,0.86,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
272,272,7,3,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
273,273,6,7,0.85,0.68,0.32,0.01,0.0,0.0,0.0,0.0,0.0,0.0
274,274,9,3,0.5,0.44,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41
275,275,1,3,0.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
276,276,7,8,0.45,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,277,8,4,0.83,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
278,278,6,9,0.66,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,279,2,9,0.32,0.58,0.42,0.58,0.42,0.58,0.42,0.58,0.42,0.58
280,280,5,7,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,281,9,0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
282,282,7,1,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
283,283,0,5,0.16,0.84,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0
284,284,8,2,0.43,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
285,285,5,3,0.27,0.11,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08
286,286,3,8,0.89,0.41,0.41,0.49,0.5,0.5,0.5,0.5,0.5,0.5
287,287,5,1,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
288,288,9,7,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
